subject,predicate,object
MolecularWeight,hasQuantity,Unit
NonSphericalShapeDepth,relatedTo,Matrix and Filler Properties
PSTPopulationDensity,relatedTo,Matrix and PST Properties
Matrix Properties,relatedTo,PhysicalProperty
NonSphericalShapeWidth,hasQuantity,Value
NonSphericalShapeLength,relatedTo,Filler Properties
Matrix Properties,relatedTo,MolecularWeight
Viscosity,relatedTo,Matrix Properties
TotalSurfaceArea,relatedTo,Filler Properties
Density,relatedTo,PhysicalProperty
SpecificSurfaceArea,hasQuantity,Quantity
Tacticity,relatedTo,Matrix Properties
NonSphericalShapeLength,hasQuantity,Quantity
NonSphericalShapeDepth,hasQuantity,Value
TotalSurfaceArea,relatedTo,Matrix and Filler Properties
Additive,relatedTo,Matrix and PST Properties
NonSphericalShapeLength,relatedTo,PhysicalProperty
PolymerClass,relatedTo,Matrix and PST Properties
NonSphericalShapeWidth,hasQuantity,Unit
Manufacturer,relatedTo,Shared Metadata Properties
Viscosity,hasQuantity,Quantity
Density,hasQuantity,Unit
PSTPopulationDensity,hasQuantity,Quantity
Density,relatedTo,Shared Physical Properties
TradeName,relatedTo,MetadataProperty
PSTPopulationDensity,relatedTo,PhysicalProperty
PolymerType,relatedTo,Matrix and Filler Properties
Additive,hasQuantity,Quantity
SpecificSurfaceArea,hasQuantity,Unit
PubChemReference,relatedTo,MetadataProperty
NonSphericalShapeDepth,relatedTo,Filler Properties
MolecularWeight,relatedTo,Shared Properties
ParticleDiameter,hasQuantity,Quantity
Matrix and Filler Properties,relatedTo,MetadataProperty
Matrix Properties,relatedTo,PubChemReference
PolymerType,relatedTo,PhysicalProperty
Additive,relatedTo,Matrix and Filler Properties
PolymerClass,relatedTo,Matrix and Filler Properties
Hardener,relatedTo,Matrix Properties
Polydispersity,relatedTo,Matrix and PST Properties
Filler Properties,relatedTo,PhysicalProperty
ComponentCompositionWeightFraction,hasValue,Value
Additive,relatedTo,PhysicalProperty
Viscosity,hasQuantity,Unit
PolymerClass,relatedTo,PhysicalProperty
NonSphericalShapeDepth,relatedTo,PhysicalProperty
ComponentCompositionWeightFraction,relatedTo,PhysicalProperty
PolymerType,relatedTo,Matrix and PST Properties
ComponentCompositionVolumeFraction,hasValue,Value
Matrix and Filler Properties,relatedTo,Shared Physical Properties
PhysicalProperty,relatedTo,Property
PolymerPlasticType,relatedTo,Matrix and Filler Properties
Shared Physical Properties,relatedTo,Shared Properties
ComponentCompositionVolumeFraction,relatedTo,PhysicalProperty
Density,hasQuantity,Value
ConstitutionalUnit,relatedTo,Shared Properties
TotalSurfaceArea,hasQuantity,Quantity
NonSphericalShapeWidth,relatedTo,Filler Properties
ParticleDiameter,hasQuantity,Unit
SpecificSurfaceArea,hasQuantity,Value
TotalSurfaceArea,relatedTo,PhysicalProperty
ChemicalName,relatedTo,Shared Metadata Properties
MolecularWeight,relatedTo,Matrix and PST Properties
NonSphericalShapeLength,hasQuantity,Value
Tacticity,relatedTo,Matrix and Filler Properties
NonSphericalShapeWidth,relatedTo,Matrix and Filler Properties
Polydispersity,relatedTo,Matrix and Filler Properties
Particle Surface Treatment (PST) Properties,relatedTo,ConstitutionalUnit
PolymerPlasticType,relatedTo,Matrix and PST Properties
ComponentCompositionVolumeFraction,relatedTo,Shared Physical Properties
NonSphericalShapeWidth,relatedTo,PhysicalProperty
Polydispersity,relatedTo,PhysicalProperty
Viscosity,hasQuantity,Value
PSTPopulationDensity,hasQuantity,Value
NonSphericalShapeDepth,hasQuantity,Quantity
NonSphericalShapeLength,hasQuantity,Unit
Viscosity,relatedTo,Matrix and PST Properties
Tacticity,relatedTo,Matrix and PST Properties
Filler Properties,relatedTo,PubChemReference
ConstitutionalUnit,relatedTo,Matrix and PST Properties
Unit,relatedTo,Quantity
ParticleDiameter,hasQuantity,Value
MolecularWeight,hasQuantity,Quantity
PSTPopulationDensity,hasQuantity,Unit
Manufacturer,relatedTo,MetadataProperty
PolymerType,relatedTo,Matrix Properties
MolecularWeight,relatedTo,PhysicalProperty
Hardener,relatedTo,Matrix and Filler Properties
Matrix and PST Properties,relatedTo,Shared Metadata Properties
Additive,hasQuantity,Unit
Value,relatedTo,Quantity
PolymerPlasticType,relatedTo,PhysicalProperty
Viscosity,relatedTo,Matrix and Filler Properties
Additive,relatedTo,Matrix Properties
PSTPopulationDensity,relatedTo,Particle Surface Treatment (PST) Properties
Matrix and PST Properties,relatedTo,Shared Properties
PolymerClass,relatedTo,Matrix Properties
Matrix Properties,relatedTo,Matrix and Filler Properties
Viscosity,relatedTo,PhysicalProperty
Particle Surface Treatment (PST) Properties,relatedTo,MolecularWeight
TotalSurfaceArea,hasQuantity,Value
NonSphericalShapeWidth,hasQuantity,Quantity
Shared Physical Properties,relatedTo,PhysicalProperty
AspectRatio,relatedTo,Filler Properties
CrystalPhase,relatedTo,Filler Properties
ComponentCompositionWeightFraction,relatedTo,Shared Physical Properties
TradeName,relatedTo,Shared Metadata Properties
Tacticity,relatedTo,PhysicalProperty
Hardener,relatedTo,Matrix and PST Properties
ConstitutionalUnit,relatedTo,PhysicalProperty
AspectRatio,relatedTo,Matrix and Filler Properties
CrystalPhase,relatedTo,Matrix and Filler Properties
Particle Surface Treatment (PST) Properties,relatedTo,Matrix and PST Properties
SpecificSurfaceArea,relatedTo,Filler Properties
Abbreviation,relatedTo,Shared Metadata Properties
Shared Metadata Properties,relatedTo,Shared Properties
Density,hasQuantity,Quantity
Matrix and Filler Properties,relatedTo,Shared Metadata Properties
AspectRatio,hasValue,Value
Matrix Properties,relatedTo,ConstitutionalUnit
Matrix and PST Properties,relatedTo,PhysicalProperty
SpecificSurfaceArea,relatedTo,Matrix and Filler Properties
AspectRatio,relatedTo,PhysicalProperty
CrystalPhase,relatedTo,PhysicalProperty
PubChemReference,relatedTo,Shared Properties
TotalSurfaceArea,hasQuantity,Unit
Additive,hasQuantity,Value
NonSphericalShapeLength,relatedTo,Matrix and Filler Properties
Matrix and Filler Properties,relatedTo,Shared Properties
Matrix Properties,relatedTo,Matrix and PST Properties
SpecificSurfaceArea,relatedTo,PhysicalProperty
MetadataProperty,relatedTo,Property
Polydispersity,relatedTo,Matrix Properties
PubChemReference,relatedTo,Matrix and Filler Properties
ChemicalName,relatedTo,MetadataProperty
Matrix and PST Properties,relatedTo,Shared Physical Properties
MolecularWeight,hasQuantity,Value
ParticleDiameter,relatedTo,Filler Properties
NonSphericalShapeDepth,hasQuantity,Unit
Shared Metadata Properties,relatedTo,MetadataProperty
Hardener,relatedTo,PhysicalProperty
Particle Surface Treatment (PST) Properties,relatedTo,PhysicalProperty
ParticleDiameter,relatedTo,Matrix and Filler Properties
Abbreviation,relatedTo,MetadataProperty
Filler Properties,relatedTo,Matrix and Filler Properties
PolymerPlasticType,relatedTo,Matrix Properties
ParticleDiameter,relatedTo,PhysicalProperty
