subject,predicate,object
EmissionCurrent,relatedTo,MicroscopyCharacteristics
TransmissionElectronMicroscopy,has,AcceleratingVoltage
DifferentialScanningCalorimetry,has,CalorimetryCharacteristics
DielectricAndImpedanceSpectroscopyAnalysis,relatedTo,CharacterizationMethod
TransmissionElectronMicroscopy,has,ExposureTime
Equipment,hasEquipmentDescription,EquipmentDescription
ScanningElectronMicroscopy,relatedTo,CharacterizationMethod
ScanningElectronMicroscopy,has,EmissionCurrent
CycleInformation,relatedTo,Property
CharacterizationMethod,hasResultData,ResultData
RheometerType,relatedTo,RheometryCharacteristics
TransmissionElectronMicroscopy,has,MicroscopyCharacteristics
Magnification,relatedTo,Property
Thermochemical,relatedTo,CharacterizationMethod
ExposureTime,relatedTo,Property
DielectricAndImpedanceSpectroscopyAnalysis,relatedTo,Spectroscopy
PhysicalProcess,hasProperty,Property
EmissionCurrent,relatedTo,Property
ScanningElectronMicroscopy,has,MicroscopyCharacteristics
ScanningElectronMicroscopy,has,WorkingDistance
DifferentialScanningCalorimetry,relatedTo,CharacterizationMethod
CoolingRate,relatedTo,CalorimetryCharacteristics
XrayDiffractionAndScattering,relatedTo,CharacterizationMethod
WorkingDistance,relatedTo,MicroscopyCharacteristics
AcceleratingVoltage,relatedTo,MicroscopyCharacteristics
AtomicForceMicroscopy,relatedTo,CharacterizationMethod
PulsedElectroAcoustic,relatedTo,CharacterizationMethod
DynamicMechanicalAnalysis,relatedTo,CharacterizationMethod
DifferentialScanningCalorimetry,has,HeatingRate
ScanningElectronMicroscopy,has,AcceleratingVoltage
DifferentialScanningCalorimetry,relatedTo,Thermochemical
ScanningElectronMicroscopy,has,ExposureTime
Microscopy,relatedTo,CharacterizationMethod
Other,relatedTo,CharacterizationMethod
CharacterizationMethod,hasEquipment,Equipment
RamanSpectroscopy,relatedTo,Spectroscopy
Rheometry,has,CapillarySize
ThermogravimetricAnalysis,relatedTo,CharacterizationMethod
RheometryCharacteristics,relatedTo,Property
Electrometry,relatedTo,Other
MicroscopyCharacteristics,relatedTo,Property
RamanSpectroscopy,relatedTo,CharacterizationMethod
RheometerType,relatedTo,Property
ThermogravimetricAnalysis,relatedTo,Thermochemical
DifferentialScanningCalorimetry,has,CycleInformation
OpticalMicroscopy,relatedTo,Microscopy
TransmissionElectronMicroscopy,has,Magnification
TransmissionElectronMicroscopy,relatedTo,Microscopy
Rheometry,relatedTo,Other
CoolingRate,relatedTo,Property
DynamicMechanicalAnalysis,relatedTo,Thermochemical
Rheometry,has,RheometerType
CapillarySize,relatedTo,RheometryCharacteristics
CharacterizationMethod,relatedTo,PhysicalProcess
ExposureTime,relatedTo,MicroscopyCharacteristics
Rheometry,has,RheometryCharacteristics
TransmissionElectronMicroscopy,has,EmissionCurrent
NuclearMagneticResonance,relatedTo,CharacterizationMethod
WorkingDistance,relatedTo,Property
AcceleratingVoltage,relatedTo,Property
FourierTransformInfraredSpectroscopy,relatedTo,Spectroscopy
Spectroscopy,relatedTo,CharacterizationMethod
Electrometry,relatedTo,CharacterizationMethod
XrayPhotonelectronSpectroscopy,relatedTo,Spectroscopy
HeatingRate,relatedTo,CalorimetryCharacteristics
CapillarySize,relatedTo,Property
FourierTransformInfraredSpectroscopy,relatedTo,CharacterizationMethod
TransmissionElectronMicroscopy,has,WorkingDistance
CalorimetryCharacteristics,relatedTo,Property
NuclearMagneticResonance,relatedTo,Spectroscopy
ScanningElectronMicroscopy,has,Magnification
Magnification,relatedTo,MicroscopyCharacteristics
OpticalMicroscopy,relatedTo,CharacterizationMethod
XrayPhotonelectronSpectroscopy,relatedTo,CharacterizationMethod
AtomicForceMicroscopy,relatedTo,Microscopy
XrayDiffractionAndScattering,relatedTo,Other
TransmissionElectronMicroscopy,relatedTo,CharacterizationMethod
Rheometry,relatedTo,CharacterizationMethod
DifferentialScanningCalorimetry,has,CoolingRate
HeatingRate,relatedTo,Property
CycleInformation,relatedTo,CalorimetryCharacteristics
PulsedElectroAcoustic,relatedTo,Other
ScanningElectronMicroscopy,relatedTo,Microscopy
